,Classifier Name,Precision,Recall,F-score
147,MLP,0.4444444444444444,0.36363636363636365,0.39999999999999997
148,Random Forest,0.38461538461538464,0.45454545454545453,0.41666666666666663
149,Biased Classifier,0.171875,1.0,0.29333333333333333
150,Decision Tree,0.5294117647058824,0.36,0.42857142857142855
151,Naive Bayes,0.6363636363636364,0.28,0.3888888888888889
152,SVM,0.6666666666666666,0.24,0.3529411764705882
153,MLP,0.5238095238095238,0.44,0.4782608695652174
154,Random Forest,0.6153846153846154,0.32,0.4210526315789474
155,Biased Classifier,0.38461538461538464,1.0,0.5555555555555556
156,Decision Tree,0.3333333333333333,0.46153846153846156,0.3870967741935484
157,Naive Bayes,0.5,0.3076923076923077,0.380952380952381
158,SVM,0.6666666666666666,0.3076923076923077,0.42105263157894735
159,MLP,0.5,0.38461538461538464,0.4347826086956522
160,Random Forest,0.4166666666666667,0.38461538461538464,0.4
161,Biased Classifier,0.2,1.0,0.33333333333333337
162,Decision Tree,0.625,0.45454545454545453,0.5263157894736842
163,Naive Bayes,0.6363636363636364,0.6363636363636364,0.6363636363636364
164,SVM,0.7777777777777778,0.6363636363636364,0.7000000000000001
165,MLP,0.3157894736842105,0.5454545454545454,0.39999999999999997
166,Random Forest,0.47368421052631576,0.8181818181818182,0.6
167,Biased Classifier,0.16923076923076924,1.0,0.2894736842105263
168,Decision Tree,0.75,0.2727272727272727,0.39999999999999997
169,Naive Bayes,0.5,0.18181818181818182,0.26666666666666666
170,SVM,0.4,0.18181818181818182,0.25000000000000006
171,MLP,0.36363636363636365,0.36363636363636365,0.36363636363636365
172,Random Forest,0.5714285714285714,0.36363636363636365,0.4444444444444444
173,Biased Classifier,0.171875,1.0,0.29333333333333333
174,Decision Tree,0.9,0.5625,0.6923076923076923
175,Naive Bayes,0.8333333333333334,0.3125,0.45454545454545453
176,SVM,1.0,0.25,0.4
177,MLP,0.6363636363636364,0.4375,0.5185185185185185
178,Random Forest,1.0,0.3125,0.47619047619047616
179,Biased Classifier,0.25,1.0,0.4
180,Decision Tree,0.5454545454545454,0.3333333333333333,0.41379310344827586
181,Naive Bayes,0.5833333333333334,0.3888888888888889,0.4666666666666666
182,SVM,0.6666666666666666,0.4444444444444444,0.5333333333333333
183,MLP,0.45,0.5,0.4736842105263158
184,Random Forest,0.5384615384615384,0.3888888888888889,0.45161290322580644
185,Biased Classifier,0.27692307692307694,1.0,0.4337349397590362
186,Decision Tree,0.4,0.5,0.4444444444444445
187,Naive Bayes,0.75,0.25,0.375
188,SVM,0.6,0.25,0.35294117647058826
189,MLP,0.4,0.3333333333333333,0.3636363636363636
190,Random Forest,0.6666666666666666,0.5,0.5714285714285715
191,Biased Classifier,0.18461538461538463,1.0,0.3116883116883117
192,Decision Tree,0.625,0.3333333333333333,0.43478260869565216
193,Naive Bayes,0.75,0.2,0.31578947368421056
194,SVM,1.0,0.26666666666666666,0.4210526315789474
195,MLP,0.2727272727272727,0.2,0.23076923076923075
196,Random Forest,0.625,0.3333333333333333,0.43478260869565216
197,Biased Classifier,0.23076923076923078,1.0,0.375
198,Decision Tree,0.5,0.5,0.5
199,Naive Bayes,0.6,0.42857142857142855,0.5
200,SVM,0.5714285714285714,0.2857142857142857,0.38095238095238093
201,MLP,0.5333333333333333,0.5714285714285714,0.5517241379310344
202,Random Forest,0.7,0.5,0.5833333333333334
203,Biased Classifier,0.21875,1.0,0.358974358974359
204,Decision Tree,0.5833333333333334,0.4117647058823529,0.4827586206896552
205,Naive Bayes,0.6,0.35294117647058826,0.4444444444444445
206,SVM,0.7142857142857143,0.29411764705882354,0.4166666666666667
207,MLP,0.6,0.5294117647058824,0.5625
208,Random Forest,0.75,0.5294117647058824,0.6206896551724139
209,Biased Classifier,0.265625,1.0,0.41975308641975306
210,Decision Tree,0.45454545454545453,0.5882352941176471,0.5128205128205129
211,Naive Bayes,0.5454545454545454,0.35294117647058826,0.42857142857142855
212,SVM,0.75,0.35294117647058826,0.48
213,MLP,0.375,0.35294117647058826,0.3636363636363636
