,Classifier Name,Hyperparameters,Precision,Recall,F-score
392,SVM,1,0.5714285714285714,0.36363636363636365,0.4444444444444444
393,MLP,"(50, 50)",0.26666666666666666,0.36363636363636365,0.30769230769230765
394,Random Forest,5,0.35714285714285715,0.45454545454545453,0.4
395,Biased Classifier,Dummy,0.16923076923076924,1.0,0.2894736842105263
396,Decision Tree,2,0.47058823529411764,0.4444444444444444,0.45714285714285713
397,Naive Bayes,0,0.5833333333333334,0.3888888888888889,0.4666666666666666
398,SVM,1,0.7,0.3888888888888889,0.5
399,MLP,"(50, 50)",0.625,0.5555555555555556,0.5882352941176471
400,Random Forest,5,0.45454545454545453,0.2777777777777778,0.3448275862068966
401,Biased Classifier,Dummy,0.27692307692307694,1.0,0.4337349397590362
402,Decision Tree,2,0.7272727272727273,0.4444444444444444,0.5517241379310345
403,Naive Bayes,0,0.6,0.5,0.5454545454545454
404,SVM,1,0.6666666666666666,0.2222222222222222,0.3333333333333333
405,MLP,"(50, 50)",0.7,0.3888888888888889,0.5
406,Random Forest,5,0.75,0.5,0.6
407,Biased Classifier,Dummy,0.27692307692307694,1.0,0.4337349397590362
408,Decision Tree,2,0.7142857142857143,0.3125,0.43478260869565216
409,Naive Bayes,0,0.8,0.25,0.38095238095238093
410,SVM,1,0.8,0.25,0.38095238095238093
411,MLP,"(50, 50)",0.5454545454545454,0.375,0.4444444444444444
412,Random Forest,5,0.6,0.5625,0.5806451612903225
413,Biased Classifier,Dummy,0.25,1.0,0.4
414,Decision Tree,2,0.6666666666666666,0.15384615384615385,0.25
415,Naive Bayes,0,0.6666666666666666,0.15384615384615385,0.25
416,SVM,1,1.0,0.23076923076923078,0.375
417,MLP,"(50, 50)",0.4,0.46153846153846156,0.42857142857142855
418,Random Forest,5,0.4444444444444444,0.3076923076923077,0.3636363636363637
419,Biased Classifier,Dummy,0.203125,1.0,0.33766233766233766
420,Decision Tree,2,0.6,0.17647058823529413,0.2727272727272727
421,Naive Bayes,0,0.6666666666666666,0.35294117647058826,0.46153846153846156
422,SVM,1,0.75,0.35294117647058826,0.48
423,MLP,"(50, 50)",0.5714285714285714,0.47058823529411764,0.5161290322580646
424,Random Forest,5,0.5714285714285714,0.47058823529411764,0.5161290322580646
425,Biased Classifier,Dummy,0.26153846153846155,1.0,0.41463414634146345
426,Decision Tree,2,0.7,0.3684210526315789,0.48275862068965514
427,Naive Bayes,0,1.0,0.3157894736842105,0.4799999999999999
428,SVM,1,1.0,0.21052631578947367,0.34782608695652173
