,Classifier Name,Hyperparameters,Precision,Recall,F-score
2528,SVM,100.0,0.7,0.4117647058823529,0.5185185185185185
2529,MLP,,0.47368421052631576,0.5294117647058824,0.5
2530,Random Forest,200.0,0.47058823529411764,0.47058823529411764,0.47058823529411764
2531,Biased Classifier,,0.26153846153846155,1.0,0.41463414634146345
2532,Decision Tree,100.0,0.5,0.6,0.5454545454545454
2533,Naive Bayes,,0.5555555555555556,0.3333333333333333,0.4166666666666667
2534,SVM,100.0,0.7142857142857143,0.3333333333333333,0.4545454545454545
2535,MLP,,0.5,0.3333333333333333,0.4
2536,Random Forest,200.0,0.6,0.4,0.48
2537,Biased Classifier,,0.23076923076923078,1.0,0.375
2538,Decision Tree,100.0,0.75,0.6923076923076923,0.7199999999999999
2539,Naive Bayes,,0.75,0.46153846153846156,0.5714285714285714
2540,SVM,100.0,0.8333333333333334,0.38461538461538464,0.5263157894736842
2541,MLP,,0.5384615384615384,0.5384615384615384,0.5384615384615384
2542,Random Forest,200.0,0.7,0.5384615384615384,0.608695652173913
2543,Biased Classifier,,0.203125,1.0,0.33766233766233766
2544,Decision Tree,100.0,0.47058823529411764,0.4444444444444444,0.45714285714285713
2545,Naive Bayes,,0.5,0.16666666666666666,0.25
2546,SVM,100.0,1.0,0.1111111111111111,0.19999999999999998
2547,MLP,,0.36363636363636365,0.2222222222222222,0.27586206896551724
2548,Random Forest,200.0,0.6666666666666666,0.2222222222222222,0.3333333333333333
2549,Biased Classifier,,0.28125,1.0,0.43902439024390244
2550,Decision Tree,100.0,0.5833333333333334,0.35,0.4375
2551,Naive Bayes,,0.45454545454545453,0.25,0.3225806451612903
2552,SVM,100.0,0.5714285714285714,0.2,0.29629629629629634
2553,MLP,,0.5384615384615384,0.35,0.4242424242424242
2554,Random Forest,200.0,0.6666666666666666,0.4,0.5
2555,Biased Classifier,,0.3076923076923077,1.0,0.47058823529411764
2556,Decision Tree,100.0,0.5384615384615384,0.6363636363636364,0.5833333333333334
2557,Naive Bayes,,0.6666666666666666,0.36363636363636365,0.4705882352941177
2558,SVM,100.0,0.75,0.2727272727272727,0.39999999999999997
2559,MLP,,0.4444444444444444,0.36363636363636365,0.39999999999999997
2560,Random Forest,200.0,0.7,0.6363636363636364,0.6666666666666666
2561,Biased Classifier,,0.16923076923076924,1.0,0.2894736842105263
2562,Decision Tree,100.0,0.42105263157894735,0.5333333333333333,0.47058823529411764
2563,Naive Bayes,,0.6666666666666666,0.4,0.5
2564,SVM,100.0,0.875,0.4666666666666667,0.608695652173913
2565,MLP,,0.5833333333333334,0.4666666666666667,0.5185185185185186
2566,Random Forest,200.0,0.6153846153846154,0.5333333333333333,0.5714285714285715
2567,Biased Classifier,,0.23076923076923078,1.0,0.375
2568,Decision Tree,100.0,0.375,0.375,0.375
2569,Naive Bayes,,0.625,0.3125,0.4166666666666667
2570,SVM,100.0,0.8571428571428571,0.375,0.5217391304347825
2571,MLP,,0.6,0.5625,0.5806451612903225
2572,Random Forest,200.0,0.7272727272727273,0.5,0.5925925925925926
2573,Biased Classifier,,0.25,1.0,0.4
2574,Decision Tree,100.0,0.34782608695652173,0.5714285714285714,0.4324324324324324
2575,Naive Bayes,,0.8333333333333334,0.35714285714285715,0.5
2576,SVM,100.0,0.8571428571428571,0.42857142857142855,0.5714285714285714
2577,MLP,,0.42857142857142855,0.42857142857142855,0.42857142857142855
2578,Random Forest,200.0,0.5833333333333334,0.5,0.5384615384615384
2579,Biased Classifier,,0.21875,1.0,0.358974358974359
2580,Decision Tree,100.0,0.47619047619047616,0.7692307692307693,0.588235294117647
2581,Naive Bayes,,0.375,0.23076923076923078,0.2857142857142857
2582,SVM,100.0,0.7142857142857143,0.38461538461538464,0.5
2583,MLP,,0.625,0.7692307692307693,0.6896551724137931
2584,Random Forest,200.0,0.5714285714285714,0.6153846153846154,0.5925925925925927
2585,Biased Classifier,,0.2,1.0,0.33333333333333337
2586,Decision Tree,100.0,0.5,0.42105263157894735,0.45714285714285713
2587,Naive Bayes,,0.875,0.3684210526315789,0.5185185185185185
2588,SVM,100.0,0.8888888888888888,0.42105263157894735,0.5714285714285714
2589,MLP,,0.375,0.3157894736842105,0.34285714285714286
